Hours,Power (kW),Source
0.011746203868032300,61.458778839321000,https://www.nature.com/articles/s41560-021-00855-0#Fig5
1.0089611950954200,70.44354716498220,
2.0060414821500200,60.51584962973180,
3.0317464059242900,69.48714753811240,
4.028894045065280,69.0156829333173,
4.99829262460978,172.57625098081500,
6.023256675433660,77.52898665418430,
7.048826895035140,67.5878187016533,
8.045907182089740,57.66012116640290,
9.043054821230720,57.188656561608700,
10.040269812458100,66.173424887269,
10.981245811542100,179.20369628250100,
12.006142510279600,74.70019902541570,
13.033396532041100,301.16485433427500,
14.059909680852100,423.61094740812300,
15.058337009634700,602.8079084819850,
16.023829168168100,157.9069665630570,
17.024209707456200,611.3346826201310,
18.009840139822900,2993.847386907430,
19.018302929479,4582.023054619170,
20.001980151340100,2690.3050039232600,
21.014955530785000,912.0482779755300,
22.007792636396400,306.37790582157700,
23.003121769204600,50.5881520944813,
23.971712123712300,40.673924976510500,
0.49607505716508600,61.22978174556370,
1.4931553442196800,51.302084210313300,
2.490370335447070,60.286852535974500,
3.516007907134950,59.80191751389980,
4.513155546275940,59.33045290910470,
5.510370537503330,68.31522123476500,
6.507518176644320,67.84375662997080,
7.50459846369891,57.91605909472040,
8.5017461028399,57.444594489925300,
9.498893741980900,56.97312988513110,
10.467551448575,56.51513569761570,
11.493660484867700,122.2238311887300,
12.518961296123600,74.45773151437790,
13.490447790346400,471.1615204059980,
14.51797122045350,735.451107436681,
15.513367705348100,489.1175866400400,
16.5091009506747,290.0652304956780,
17.51271439011000,1197.3921272146200,
18.50359828521590,4317.491000077460,
19.50061122018410,4298.1070696117500,
20.510218995308900,2047.0386971412400,
21.498072046526800,741.6070881335730,
22.519466436771500,145.37947849279400,
23.515805850875700,31.43321872253180,
