Nearest Center,Latitude,Longitude
Fort Worth,32.4153337735469,-97.2273852735963
Waco,31.5828347647210,-97.1035800780352
Georgetown,30.6855586045081,-97.6569196590614
San Marcus,29.8826520812254,-97.9218413572535
Schulenburg,29.6935372991465,-96.9159580308121
Chappel Hill,30.1344381838372,-96.2429262290035
Madisonville,30.9508141051867,-95.9117436382204
Richland,31.9057901509063,-96.3851286817761
