City,Company,State
Geismar,Praxair; Inc.,LA
Geismar,Shell Chemical Co,LA
Geismar,Union Texas Petroleum/BASF/GE Petroch,LA
Geismar,Vulcan Materials Co,LA
Geismar (Baton Rouge),Praxair; Inc.,LA
Gramercy,LaRoche Industries Inc,LA
Luling,Monsanto,LA
New Orleans,Air Products and Chemicals; Inc.,LA
New Orleans,Air Products and Chemicals; Inc.,LA
Norco,Shell Oil Co,LA
Plaquemine,Air Liquide America Corp,LA
Plaquemine,Air Products and Chemicals; Inc.,LA
Plaquemine,Dow Chemicals USA,LA
Plaquemine,Georgia Gulf Corp,LA
Saint Gabriel,Pioneer Chlor Alkali Co; Inc,LA
Taft,Air Products and Chemicals; Inc.,LA
Taft,CYX Chemicals USA Inc,LA
Taft,Occidental Petroleum Corp,LA
Boston,Air Products and Chemicals; Inc.,MA
Orrington,HoltraChem Manufacturing Company,ME
Ecorse,Praxair; Inc.,MI
Lansing,Airgas,MI
Hannibal,Air Products and Chemicals; Inc.,MO
St. Louis,Air Products,MO
St. Louis,BOC,MO
St. Louis,Praxair; Inc.,MO
St. Louis,Praxair; Inc.,MO
Columbus,Eka Chemicals,MS
Hamilton,Kerr-McGee Chemical Corp,MS
Hattiesburg,Hercules Inc,MS
Pascagoula,Chevron Products Co,MS
Pascagoula,First Chemical Corp,MS
Vicksburg,Ergon Refining,MS
Acme,Holtra Chemical Manufacturing Company,NC
Charlotte,Air Products and Chemicals; Inc.,NC
Charlotte,C & T Refinery,NC
Charlotte,National Welders,NC
Raleigh,Mallinckrodt Inc,NC
Belvedere,Praxair; Inc.,NJ
Deepwater (Carney's Point,Praxair; Inc.,NJ
Paulsboro,Valero Refining Co,NJ
Glenmont,Air Products and Chemicals; Inc.,NY
Niagara Falls,Niachlor Inc,NY
Niagara Falls,Occidental Petroleum Corp,NY
Niagara Falls,Praxair; Inc.,NY
Ashtabula,ASHTA Chemicals Inc,OH
Ashtabula,Praxair; Inc.,OH
Barberton,Praxair; Inc.,OH
Cincinnati,Air Products and Chemicals; Inc.,OH
Cincinnati,BOC North America,OH
Cincinnati,Praxair; Inc.,OH
Cleveland,AGA,OH
Euclid,GE; Lighting Business Group,OH
Lima,BOC North America,OH
Lima,BOC North America,OH
Lima,BOC North America,OH
Middletown,Air Products and Chemicals; Inc.,OH
Middletown,Air Products and Chemicals; Inc.,OH
North Baltimore,Air Products and Chemicals; Inc.,OH
North Royalton,Praxair; Inc.,OH
Painesville,"Praxair, Inc.",OH
Sidney,Cargill,OH
Toledo,BP Oil,OH
Toledo,BP Oil,OH
Toledo,"Sunoco, Inc",OH
Sarnia,"Praxair, Inc.",Ontario
Sarnia,"Praxair, Inc.",Ontario
Sarnia,Air Products Canada (owned by AP&C; U,Ontario (can
Bethlehem,Praxair; Inc.,PA
Butler,Air Products,PA
Butler,Air Products and Chemicals; Inc.,PA
Fairless Hills,Praxair; Inc.,PA
Karns City (listed as Karn,Pennzoil Co,PA
Petrolia,Witco Corp,PA
Pittsburgh,Praxair; Inc.,PA
Rouseville,Calumet Lubricants Co,PA
St. Marys,Messer - MG Industries,PA
West Leechburg,Praxair; Inc.,PA
Bayamon,Caribbean Petroleum Corp,PR
Yabucoa,Puerto Rico Sun Oil Co,PR
Becancour,HydrogenA1,Quebec; CN
Magog,BOC Canada,Quebec; CN
Slatersville,Praxair; Inc.,RI
Charleston,Olin Corp,TN
Chattanooga,Archer Daniels Midland Comp,TN
Chattanooga,BOC,TN
Chattanooga,BOC,TN
Chattanooga,Bunge Foods Group,TN
Kingsport,Eastman Chemical Co,TN
Memphis,Atofina,TN
Memphis,Hunt-Wesson Inc,TN
Memphis,Penn Specialty Chemical Inc,TN
Memphis,Witco Corp,TN
Green Bay,Fort Howard Corp,WI
Milton,Tomah Products; Inc,WI
Port Edwards,Vulcan Materials Co,WI
