State,Name,Types,Source
New York,Medium- and Heavy-Duty Zero Emission Vehicle (ZEV) Requirement,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12814
North Carolina,Heavy-Duty Vehicle Emissions Reduction Funding,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12255
North Carolina,Alternative Fuel and Idle Reduction Grants,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/5294
North Carolina,Alternative Fuel and Alternative Fuel Vehicle (AFV) Fund,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/5986
North Dakota,Low-Emission Technology Grants,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12834
North Dakota,Medium- and Heavy-Duty Diesel Vehicle Repower and Replacement Grants,"Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/12971
Ohio,Medium- and Heavy-Duty Emissions Reduction Grants,"Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/11981
Ohio,Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/11221
Ohio,Propane Vehicle Rebate - OPGA,Propane,https://afdc.energy.gov/laws/12132
Oklahoma,Alternative Fuel Vehicle and Idle Reduction Weight Exemption,"Electricity, Hydrogen, Natural Gas",https://afdc.energy.gov/laws/11723
Oklahoma,Alternative Fuel Vehicle (AFV) Tax Credit,"Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/5950
Oklahoma,Natural Gas Vehicle (NGV) and Infrastructure Rebate - Oklahoma Natural Gas,Natural Gas,https://afdc.energy.gov/laws/10333
Oregon,Alternative Fuel Technology Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/6277
Oregon,Electric Vehicle (EV) Registration Incentive - Emerald People’s Utility District (EPUD),Electricity,https://afdc.energy.gov/laws/12294
Oregon,Fleet Electrification Support – Portland General Electric (PGE),Electricity,https://afdc.energy.gov/laws/12633
Oregon,Electric Vehicle (EV) Technology Grant – Pacific Power,Electricity,https://afdc.energy.gov/laws/13180
Oregon,Volkswagen (VW) Settlement Allocation,Electricity,https://afdc.energy.gov/laws/11940
Pennsylvania,Medium- and Heavy-Duty Vehicle Rebates,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/11992
Pennsylvania,Alternative Fuel and Idle Reduction Grants,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/5998
Pennsylvania,Medium- and Heavy-Duty (MHD) Zero Emission Vehicle (ZEV) Grant,"Electricity, Hydrogen",https://afdc.energy.gov/laws/13135
Pennsylvania,"Idle Reduction, Natural Gas Vehicle (NGV), and Electric Vehicle (EV) Weight Exemption","Electricity, Natural Gas",https://afdc.energy.gov/laws/6612
Pennsylvania,Fleet Electrification Assessment – Duquesne Light Company (DLC),Electricity,https://afdc.energy.gov/laws/13028
Pennsylvania,Fleet Electric Vehicle (EV) Charging Station Rebate – Duquesne Light Company (DLC),Electricity,https://afdc.energy.gov/laws/13202
Pennsylvania,Community Charging Assessment and Rebate – Duquesne Light Company (DLC),Electricity,https://afdc.energy.gov/laws/13203
Rhode Island,Clean Diesel Grant ,"Ethanol, Electricity, Hydrogen, Natural Gas",https://afdc.energy.gov/laws/11774
Rhode Island,Natural Gas Vehicle (NGV) Weight Exemption,Natural Gas,https://afdc.energy.gov/laws/11998
Rhode Island,Fleet Zero Emission Vehicle (ZEV) Rebates,"Electricity, Hydrogen",https://afdc.energy.gov/laws/13029
South Carolina,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemptions,Natural Gas,https://afdc.energy.gov/laws/11843
South Carolina,Alternative Fuel Vehicle (AFV) Revolving Loan Program for Private Entities,"Biodiesel, Ethanol, Electricity, Hydrogen, Natural Gas, Propane",https://afdc.energy.gov/laws/11518
